name,address,postcode,indicator,postcode_used,lat,lng
McDonald's Elias Community Centre,"Pasir Ris Elias Community Club (CC) #01-02,93 Pasir Ris Drive 3, 519498",519498,McDonalds,519498,1.378252,103.94271
McDonald's Choa Chu Kang 62 (Kiosk),"Yew Tee Square #01-262,623 Choa Chu Kang Street 62, 680623",680623,McDonalds,680623,1.398312,103.747039
McDonald's Hougang Mall,"Hougang Mall #01-17,90 Hougang Avenue 10, 538766",538766,McDonalds,538766,1.372629,103.893938
McDonald's Toa Payoh SAFRA,"Safra Clubhouse - Toa Payoh #01-02,293 Lorong 6 Toa Payoh, 319387",319387,McDonalds,319387,1.329911,103.854256
McDonald's JCube,"JCube #01-09,2 Jurong East Central 1, 609731",609731,McDonalds,609731,1.33352,103.740277
McDonald's Choa Chu Kang Neighbourhood 5,"Limbang Shopping Centre #01-01,533 Choa Chu Kang Street 51, 680533",680533,McDonalds,680533,1.392015,103.743131
McDonald's VivoCity,"VivoCity #B2-40/41,1 Harbourfront Walk, 098585",098585,McDonalds,098585,1.264613,103.823012
McDonald’s Shell Tampines,"Shell Tampines Ave 2 Service Station9 Tampines Avenue 2, 529731",529731,McDonalds,529731,1.34906,103.947788
McDonald's Toa Payoh Central,"600 @ Toa Payoh #01-02,600 Lorong 4 Toa Payoh, 319515",319515,McDonalds,319515,1.334143,103.851244
McDonald's Ang Mo Kio Park,"Mcdonald's @ Ang Mo Kio Street10 Ang Mo Kio Street 12, 567740",567740,McDonalds,567740,1.3724289,103.844726
McDonald's Changi Airport T3,"Changi Airport Terminal 3 Arrival Meeting Hall South #01-03,65 Airport Boulevard, 819663",819663,McDonalds,819663,1.356716,103.98651
McDonald's TradeHub 21,"TradeHub 21 #01-173/174,28 Boon Lay Way, 609971",609971,McDonalds,609971,1.328173,103.751848
McDonald’s Downtown East,"Downtown East #01-338,1 Pasir Ris Close, 519599",519599,McDonalds,519599,1.3789473,103.9552726
McDonald's Yishun Safra,"Safra Yishun Country Club #01-11,60 Yishun Avenue 4, 769027",769027,McDonalds,769027,1.423708,103.84065
McDonald's Regal,"Rubikon #01-01,3501 Jalan Bukit Merah, 159460",159460,McDonalds,159460,1.283653,103.818279
McDonald's Gek Poh,"Gek Poh Shopping Centre #02-250,762 Jurong West Street 75, 640762",640762,McDonalds,640762,1.349156,103.698195
McDonald’s WoodGrove,"The Woodgrove #01-06,30 Woodlands Avenue 1, 739065",739065,McDonalds,739065,1.428724,103.781141
McDonald's NEX,"Nex #B2-05 to 08,23 Serangoon Central, 556083",556083,McDonalds,556083,1.350644,103.871806
McDonald's Potong Pasir,"HDB Potong Pasir #01-43,148 Potong Pasir Avenue 1, 350148",350148,McDonalds,350148,1.332627,103.867766
McDonald's Ang Mo Kio,"51 @ Ang Mo Kio #01-04,51 Ang Mo Kio Avenue 3, 569922",569922,McDonalds,569922,1.369149,103.847207
McDonald's City Square Mall,"City Square Mall #B1-03/05,180 Kitchener Road, 208539",208539,McDonalds,208539,1.311403,103.85662
McDonald's Sengkang Sports Complex,"Sengkang Swimming Complex #02-03,57 Anchorvale Road, 544964",544964,McDonalds,544964,1.396759,103.886691
McDonald's West Coast Park,"Mcdonald's @ West Coast Highway71 West Coast Highway, 126844",126844,McDonalds,126844,1.2978289,103.763581
McDonald's Tampines,"HDB Tampines #01-150,513 Tampines Central 1, 520513",520513,McDonalds,520513,1.353731,103.944362
McDonald's iFly,"iFly Singapore #01-04,43 Siloso Beach Walk, 099010",099010,McDonalds,099010,1.352083,103.819836
McDonald's Toa Payoh HDB Center,"HDB Hub #01-11,490 Lorong 6 Toa Payoh, 310490",310490,McDonalds,310490,1.332516,103.848532
McDonald's Clementi Mall,"The Clementi Mall #01-06 to 09 & #02-06 to 08,3155 Commonwealth Avenue West, 129588",129588,McDonalds,129588,1.3150108,103.7643563
McDonald's V Hotel,"V Hotel Lavender #01-20,70 Jellicoe Road, 208767",208767,McDonalds,208767,1.352083,103.819836
McDonald's Jurong Central Park,"Mcdonald's @ Jurong Central Park291 Boon Lay Way, 649849",649849,McDonalds,649849,1.352083,103.819836
McDonald's Bishan Park,"Mcdonald's @ Bishan Park1378 Ang Mo Kio Avenue 1, 569981",569981,McDonalds,569981,1.352083,103.819836
McDonald's Pasir Ris Sports Complex,"Pasir Ris Sports Centre #01-12,120 Pasir Ris Central, 519640",519640,McDonalds,519640,1.352083,103.819836
McDonald's Changi City Point,"Changi City Point #01-10/11,5 Changi Business Park Central 1, 486038",486038,McDonalds,486038,1.3360557,103.9639813
McDonald's Gardens By The Bay,"Gardens By The Bay (Bay South) #02-04,18 Marina Gardens Drive, 018953",018953,McDonalds,018953,1.281744,103.867383
McDonald's JEM,"Jurong East Mall (JEM) #01-63, #02-55,No. 50 Jurong Gateway Road, 608549",608549,McDonalds,608549,1.3330671,103.7436599
McDonald's PSA,"PSA Building #01-25,460 Alexandra Road, 119963",119963,McDonalds,119963,1.273673,103.801381
McDonald's Punggol 21 Community Centre,"Punggol 21 Community Club #01-02,80 Punggol Field, 828815",828815,McDonalds,828815,1.393473,103.913677
McDonald's Paya Lebar Square,"Paya Lebar Square #01-68/69/74/75/76/K3,60 Paya Lebar Road, 409051",409051,McDonalds,409051,1.318938,103.8926112
McDonald's Keat Hong,"HDB Keat Hong Mirage #01-02,818 Choa Chu Kang Avenue 1, 680818",680818,McDonalds,680818,1.3778808,103.7488393
McDonald's Seletar Mall,"The Seletar Mall #01-04 to 06,33 Sengkang West Avenue, 797653",797653,McDonalds,797653,1.352083,103.819836
McDonald's Metropolis,"The Metropolis #01-08,9 North Buona Vista Drive, 138588",138588,McDonalds,138588,1.3066305,103.7910604
McDonald's Bedok Mall,"Bedok Mall #01-10/11,311 New Upper Changi Road, 467360",467360,McDonalds,467360,1.352083,103.819836
McDonald's Ang Mo Kio Ave 10,"HDB Chong Boon Centre #01-1693,448 Ang Mo Kio Avenue 10, 560448",560448,McDonalds,560448,1.367516,103.856308
McDonald's Toa Payoh Lorong 1,"HDB Toa Payoh North #01-318,109 Lorong 1 Toa Payoh, 310109",310109,McDonalds,310109,1.341253,103.846346
McDonald's Yishun Ring Road,"HDB Nee Soon East Court Yard #01-237 ,293 Yishun Street 22, 760293",760293,McDonalds,760293,1.436379,103.837894
McDonald's Fairprice Hub (FH),"Fairprice Hub #01-27 to 31,1 Joo Koon Circle, 629117",629117,McDonalds,629117,1.352083,103.819836
McDonald's Kallang,"200 Stadium Road, 397801",397801,McDonalds,397801,1.305581,103.88157
McDonald's Hougang,"HDB Kovan City #01-217,208 Hougang Street 21, 530208",530208,McDonalds,530208,1.358844,103.886685
McDonald's Waterway Point,"Waterway Point (Shopping Centre) #B2-07,83 Punggol Central, 828761",828761,McDonalds,828761,1.352083,103.819836
McDonald's Bedok ReservoirPark,"HDB Reservoir Village #01-3019,744 Bedok Reservoir Road, 470744",470744,McDonalds,470744,1.337464,103.921607
McDonald's Bedok Reservoir,"HDB Eunos Grove #01-850,632 Bedok Reservoir Road, 470632",470632,McDonalds,470632,1.332034,103.91397
